sample-id	group
TB_0101	Group_A
TB_0078	Group_A
TB_0086	Group_A
TB_0091	Group_A
TB_0095	Group_A
TB_0099	Group_A
TB_0112	Group_A
TB_0114	Group_A
TB_0129	Group_A
TB_0141	Group_B
TB_0142	Group_B
TB_0143	Group_B
TB_0145	Group_B
TB_0166	Group_B
TB_0169	Group_B
TB_0171	Group_B
TB_0174	Group_B
TB_0178	Group_B
TB_0179	Group_B
TB_0110	Group_C
TB_0117	Group_C
TB_0123	Group_C
TB_0127	Group_C
TB_0131	Group_C
TB_0149	Group_C
TB_0152	Group_C
TB_0153	Group_C
TB_0155	Group_C
TB_0157	Group_C
TB_0160	Group_C
TB_0168	Group_D
TB_0170	Group_D
TB_0177	Group_D
TB_0180	Group_D
TB_0190	Group_D
TB_0194	Group_D
TB_0202	Group_D
TB_0203	Group_D
TB_0206	Group_D
